Data,Item / Evento,Pág.,Dimensão IVS,Cód. Variável,Tipo Relação,Resumo,Localidade,Tipo Evento,Gravidade,Observação,Cód. Lot.,Confiança,Polaridade,Origem
14/03/2026,Medidas protetivas,s/n,capital_humano,CH_04,direta,94 medidas protetivas jan-fev/2026; +11.9% vs 2025; maior volume entre 6 municipios,Hortolandia,problema,alta,Fonte TJ-SP; dado auditavel para CRAM e CREAS,nao_aplicavel,nao_aplicavel,negativo,seguranca
15/03/2026,Caso Nicolly Pogere,s/n,capital_humano,CH_03,direta,Adolescente assassinada jul/2025; casal 14 e 17 anos apreendido; mae mobiliza Lei Nicolly Pogere,Hortolandia,caso_individual,alta,Interface CREAS e Conselho Tutelar,nao_aplicavel,nao_aplicavel,negativo,seguranca
18/03/2026,Forum de Empregabilidade,s/n,renda_trabalho,RT_02,direta,Forum Dimas + Maria dos Anjos vinculado ao programa EMPREGA_HORTOLANDIA,Hortolandia,politica_publica,media,Dado registrado em dim_programa_v05,nao_aplicavel,nao_aplicavel,positivo,institucional
18/03/2026,Embalixo 5x2,s/n,renda_trabalho,RT_02,direta,110 contratacoes formais; dado futuro para cruzamento CAGED,Hortolandia,politica_publica,media,Evidencia empirica de insercao produtiva formal,nao_aplicavel,nao_aplicavel,positivo,institucional
18/03/2026,Ministra das Mulheres Jardim Amanda,s/n,capital_humano,CH_04,direta,Visita ao nucleo Amanda; contexto de vulnerabilidade feminina,Jd Amanda,politica_publica,media,Nucleo mais presente no CadUnico com 10208 registros,351,alto,positivo,institucional
21/03/2026,Exposicao Mulheres que Inspiram,s/n,capital_humano,CH_04,direta,Acao SMIDS/DPP PcD no Palacio dos Migrantes,Hortolandia,politica_publica,media,Acao pontual nao entra no catalogo de programas,nao_aplicavel,nao_aplicavel,positivo,institucional
21/03/2026,Residencial Senior Terca da Serra,s/n,renda_trabalho,RT_04,contextual,Segunda unidade Parque Ortolandia 30 leitos; envelhecimento demografico,Hortolandia,infraestrutura,media,Impacto futuro em RT_04 Economia Prateada,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
21/03/2026,17a Caravana Federativa equipamentos saude,s/n,capital_humano,CH_01,direta,Saude recebeu equipamentos de fisioterapia reabilitacao oftalmologia,Hortolandia,politica_publica,media,Amplia capacidade de resposta Capital Humano,nao_aplicavel,nao_aplicavel,positivo,institucional
21/03/2026,Reajuste funcionalismo 2.51%,s/n,renda_trabalho,RT_01,direta,Lei 4606/2026 5200 servidores IPCA 10 meses,Hortolandia,politica_publica,media,Contexto custo de vida e pressao sobre renda,nao_aplicavel,nao_aplicavel,positivo,institucional
24/03/2026,Mercado imobiliario +10%,s/n,infraestrutura_urbana,IU_01,direta,Crescimento imobiliario Hortolandia; pressao em novos loteamentos,Hortolandia,problema,media,Indicador de expansao territorial; impacto em IU_01 e IU_02,nao_aplicavel,nao_aplicavel,negativo,seguranca
24/03/2026,Parque Terras de Santa Maria,s/n,infraestrutura_urbana,IU_01,direta,Obras iniciadas; evento positivo de infraestrutura urbana,Hortolandia,infraestrutura,media,Verificar nome oficial do programa,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
24/03/2026,TCE-SP auditorias operacionais 2026,s/n,infraestrutura_urbana,SMIDS_EXT,contextual,TCE-SP amplia auditorias; argumento institucional para o Atlas Social,Hortolandia,politica_publica,media,Rastreabilidade e evidencia tecnica,nao_aplicavel,nao_aplicavel,positivo,institucional
25/03/2026,Gasolina media R$ 6.41,s/n,renda_trabalho,RT_01,direta,Procon fiscaliza postos; preco medio regional R$ 6.41,Hortolandia,problema,alta,Pressao de custo de vida sobre renda familiar,nao_aplicavel,nao_aplicavel,negativo,economico
25/03/2026,PROUNI Hortolandia,s/n,capital_humano,CH_07,direta,Proposta legislativa acesso ao PROUNI; impacto potencial em CH_07 e RT_02,Hortolandia,politica_publica,media,Indicacao legislativa aguarda aprovacao,nao_aplicavel,nao_aplicavel,positivo,institucional
25/03/2026,UBS Terras de Santa Maria,s/n,capital_humano,CH_01,direta,Obras UBS iniciadas; expansao rede de saude em loteamentos de crescimento,Hortolandia,infraestrutura,media,Equipamento de saude fora do escopo SMIDS,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
25/03/2026,CAPS Vida Jardim America,s/n,capital_humano,CH_08,direta,CAPS autorizado; saude mental; interface futura com PAEFI,Hortolandia,infraestrutura,media,Equipamento de saude fora do escopo SMIDS,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
26/03/2026,Programa Cuidar,9,capital_humano,CH_04,direta,Entrega kits de maternidade 6025 kits desde 2022,Hortolândia,politica_publica,media,Acao institucional SMIDS,nao_aplicavel,nao_aplicavel,positivo,institucional
26/03/2026,Abastecimento BRK,9,infraestrutura_urbana,IU_01,direta,Oscilacao de abastecimento em 14 bairros,Hortolândia,problema,media,Cruzar com loteamentos afetados,nao_aplicavel,nao_aplicavel,negativo,infraestrutura
26/03/2026,Idoso encontrado morto,8,capital_humano,CH_05,indireta,Idoso sozinho em situacao de vulnerabilidade hipertenso alcoolista,Jd Nova Hortolândia,caso_individual,alta,Vulnerabilidade individual com possivel isolamento social,319,alto,negativo,assistencial
27/03/2026,Manifesto servidores vale-alimentacao,1,renda_trabalho,RT_01,direta,Servidores municipais pedem vale-refeicao; PL encaminhado a Camara,Hortolândia,politica_publica,media,Contexto politico relevante para periodo de apresentacao em abril,nao_aplicavel,nao_aplicavel,positivo,institucional
27/03/2026,Protocolo Coordenacao Pedagogica,8,capital_humano,CH_07,direta,Lancamento protocolo formativo para coordenadores pedagogicos; 26 mil alunos,Hortolândia,politica_publica,media,Acao da Educacao; interface com CH_03 e CH_07,nao_aplicavel,nao_aplicavel,positivo,institucional
27/03/2026,Zeladoria Parque Lago da Fe,8,SMIDS_EXT,SMIDS_EXT,contextual,Mutirao manutencao Parque Lago da Fe e Parque Chico Mendes,Hortolândia,infraestrutura,media,Parque Gabriel em area de vulnerabilidade,nao_aplicavel,nao_aplicavel,positivo,infraestrutura
27/03/2026,Furto de carga Jardim Amanda,9,SMIDS_EXT,SMIDS_EXT,indireta,Quatro presos furto de oleo Av. Princesa Isabel,Jardim Amanda,problema,media,Ocorrencia de seguranca no Jd. Amanda,351,alto,negativo,seguranca
28/03/2026,Ana Perugini R$ 400 mil CRAS Jardim Brasil,7,multidimensional,governanca,contextual,Emenda R$ 400 mil para ampliacao CRAS Jardim Brasil,Hortolandia,politica_publica,media,Ampliacao de CRAS relevante para modelagem de cobertura territorial,nao_aplicavel,nao_aplicavel,positivo,institucional
28/03/2026,Tentativa estupro praca publica,9,multidimensional,CH_05,indireta,Tentativa estupro praca proxima Hospital Mario Covas; suspeito foragido,Hortolandia,problema,alta,Violencia de genero em espaco publico; interface PAEFI e CRAM,nao_aplicavel,nao_aplicavel,negativo,seguranca
28/03/2026,ISLU 2025 Hortolandia posicao 1301,6,infraestrutura_urbana,IU_02,direta,Hortolandia posicao 1301 indice 0.538 conceito medio ranking nacional,Hortolandia,problema,media,Dado auditavel corrobora IU_02,nao_aplicavel,nao_aplicavel,negativo,seguranca
